"ID","victim","gang","date","Victim Country","Victim sectors","NumberN/AofN/Aemployees","Sales"
16643,"Sharm Reef Hotel","Spacebears","14/1/2025","Egypt","HOSPITALITY",NA,"<$5M"
16642,"Union Studio","Akira","14/1/2025","USA","CONSTRUCTION",NA,"<$5M"
16641,"Pittman Construction","Lockbit3","14/1/2025","USA","CONSTRUCTION","320","$70.3M"
16640,"Clnica CES","Qilin","14/1/2025","Colombia",NA,NA,NA
16639,"Thilges & Bernhardt, Attorneys at Law","Qilin","14/1/2025","USA","LEGAL SERVICES",NA,"<$5M"
16638,"Intels Nigeria","Ransomhub","14/1/2025","Nigeria","BUSINESS SERVICE","1628","$293.8M"
16637,"Onecare","Incransom","14/1/2025","Canada","ORGANIZATIONS","100","$19.8M"
16636,"Findhelp Information Services","Incransom","14/1/2025","Canada","ORGANIZATIONS","80","$16.9M"
16635,"Biomedical Caledonia Medical Laboratory","Incransom","14/1/2025","Jamaica","HEALTHCARE","68","$12.8M"
16634,"Imperial Valley Respite","Incransom","14/1/2025","USA","ORGANIZATIONS",NA,"<$5M"
16633,"Riverina Medical","Incransom","14/1/2025","Australia","HEALTHCARE",NA,NA
16632,"Spectrum","Incransom","14/1/2025","Australia","BUSINESS SERVICE",NA,"$5.6M"
16631,"Solaris Pharma","Everest","14/1/2025","USA","RETAIL","34","$7.5M"
16630,"Welcome Hall Mission","Everest","13/1/2025","Canada","ORGANIZATIONS","87","$9M"
16629,"Nash Brothers Construction","Lynx","13/1/2025","USA","CONSTRUCTION",NA,"<$5M"
16628,"PHG CPAs","Lynx","13/1/2025","USA","BUSINESS SERVICE",NA,"<$5M"
16627,"Browdy","Lynx","13/1/2025","USA","LEGAL SERVICES",NA,"<$5M"
16626,"SERGAS Group","Lynx","13/1/2025","UAE","ENERGY","303","$27.9M"
16625,"Pasteurizadora La Mejor","Lockbit3","13/1/2025","Colombia","MANUFACTURING","523","$11.5M"
16624,"Nicatel","Lockbit3","13/1/2025","Uruguay","RETAIL",NA,"<$5M"
16623,"Gelco","Lockbit3","13/1/2025","Brazil","MANUFACTURING",NA,"<$5M"
16622,"Viacao Urbana","Lockbit3","13/1/2025","Brazil","MANUFACTURING","762","$41.9M"
16621,"atpformosa.gob.ar","Lockbit3","13/1/2025","Argentina","LEGAL SERVICES",NA,NA
16620,"Candelas y Asociados","Lockbit3","13/1/2025","Spain","REAL ESTATE",NA,"<$5M"
16619,"OYO Hotel","Lockbit3","13/1/2025","USA","HOSPITALITY","700","$290.9M"
16618,"Community Health Northwest Florida","Ransomhub","13/1/2025","USA","HEALTHCARE","337","$55.3M"
16617,"Delap & Waller","Lynx","13/1/2025","UK","CONSTRUCTION","104","$17.7M"
16616,"PT PINS Indonesia","Dragonforce","13/1/2025","Indonesia","MANUFACTURING","296","$60.6M"
16615,"Conad (conad.lan)","Lynx","13/1/2025","Italy","RETAIL","77820","$22.3B"
16614,"Novati Constructions","Lynx","13/1/2025","Australia","CONSTRUCTION","96","$21.5M"
16613,"DURAYDUNCAN.COM","Clop","13/1/2025","USA","HOSPITALITY",NA,NA
16612,"Musicians Institute","Ransomhub","13/1/2025","USA","EDUCATION",NA,"<$5M"
16611,"telering.de","Lockbit3","13/1/2025","Germany","TELECOMMUNICATIONS",NA,NA
16610,"bendixengineering","Medusalocker","09/01/2025","USA","CONSTRUCTION",NA,"<$5M"
16609,"Astaphans","Lynx","11/01/2025","Dominican Republic","RETAIL","25","$5.3M"
16608,"Jim Thompson","Lynx","11/01/2025","USA","RETAIL","104","$5.7M"
16607,"T. Hasegawa USA","Hunters","11/01/2025","USA","MANUFACTURING","105","$50.2M"
16606,"Costex","Hunters","11/01/2025","USA","MANUFACTURING","300","$81.5M"
16605,"Patriarche Office of Architecture","Hunters","11/01/2025","France","CONSTRUCTION","750","$142.9M"
16604,"COROB","Hunters","11/01/2025","Italy","MANUFACTURING","590","$112.7M"
16603,"RocSearch","Hunters","11/01/2025","UK","IT","149","$34M"
16602,"Unisource Information Services","Hunters","11/01/2025","USA","FINANCIAL","29","$16.5M"
16601,"Schuff Steel","Blackbasta","11/01/2025","USA","CONSTRUCTION","1744","$961.3M"
16600,"Granby Industries","Blackbasta","11/01/2025","Canada","MANUFACTURING","264","$61M"
16599,"Plasma-Therm","Blackbasta","11/01/2025","USA","MANUFACTURING","700","$71.9M"
16598,"Arun Estates","Blackbasta","11/01/2025","UK","REAL ESTATE","532","$82.6M"
16597,"Brachot-Hermant","Blackbasta","11/01/2025","Belgium","RETAIL","317","$15.6M"
16596,"Avril Supermarché Santé","Blackbasta","11/01/2025","Canada","RETAIL","603","$33.2M"
16595,"Mortgage Investors Group","Blackbasta","11/01/2025","USA","FINANCIAL","440","$32.2M"
16594,"B-Next","Blackbasta","11/01/2025","Netherlands","BUSINESS SERVICE",NA,"<$5M"
16593,"Ekomercio Electrónico SA de CV","Clop","11/01/2025","Mexico","IT","248","$26M"
