"ID","Group","Group Type","Discovery","Exit Date","Country","Source","TTPS","TTPS.1","TTPS.2","TTPS.3","TTPS.4","TTPS.5","TTPS.6","TTPS.7","TTPS.8","TTPS.9","TTPS.10","TTPS.11","TTPS.12","TTPS.13","TTPS.14","TTPS.15","TTPS.16","TTPS.17","TTPS.18","TTPS.19","TTPS.20","TTPS.21","TTPS.22","TTPS.23","TTPS.24","TTPS.25","TTPS.26","TTPS.27","TTPS.28","TTPS.29","TTPS.30","TTPS.31","TTPS.32","TTPS.33","TTPS.34","TTPS.35","TTPS.36","TTPS.37","TTPS.38","TTPS.39","TTPS.40","TTPS.41","TTPS.42","TTPS.43","TTPS.44","TTPS.45","TTPS.46","TTPS.47","TTPS.48","TTPS.49","TTPS.50","TTPS.51","TTPS.52","TTPS.53","TTPS.54","TTPS.55","TTPS.56","TTPS.57","TTPS.58","TTPS.59","TTPS.60","TTPS.61","TTPS.62","TTPS.63","TTPS.64","TTPS.65","TTPS.66","TTPS.67","TTPS.68","TTPS.69","TTPS.70","TTPS.71","TTPS.72","TTPS.73","TTPS.74","TTPS.75","TTPS.76","TTPS.77","TTPS.78","TTPS.79","TTPS.80","TTPS.81","TTPS.82","TTPS.83","TTPS.84","TTPS.85","TTPS.86","TTPS.87","TTPS.88"
1,"0mega","Crypto-Ransomware / Data Broker",2022,NA,"Russia / Eastern Europe",NA,"T1566","T1566.001","T1566.002","T1190","T1059","T1059.001","T1059.003","T1059.004","T1204","T1204.001","T1204.002","T1547","T1547.001","T1053.005","T1136","T1136.001","T1068","T1078","T1078.003","T1078.002","T1027","T1027.001","T1027.002","T1140","T1562","T1562.001","T1112","T1036","T1036.005","T1070","T1070.001","T1003","T1003.001","T1003.002","T1110","T1110.001","T1016","T1049","T1082","T1087","T1087.001","T1087.002","T1021","T1021.002","T1021.001","T1534","T1550.002","T1005","T1039","T1074","T1071","T1071.001","T1095","T1573","T1573.002","T1219","T1041","T1567","T1567.002","T1486","T1490","T1487.001","T1485","T1498","T1498.001","T1090.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"8base","Crypto-Ransomware / Data Broker",2022,NA,"Russia / Eastern Europe","Cybernews","T1595","T1598","T1583","T1587","T1566.001","T1053","T1059","T1129","T1547","T1547.001","T1036","T1070.004","T1112","T1202","T1222","T1497","T1562","T1562.001","T1562.004","T1564","T1564.001","T1003","T1056","T1057","T1082","T1083","T1518.001","T1080","T1005","T1074","T1560","T1071","T1071.001","T1041","T1485","T1490","TA0002","TA0003","TA0004","TA0005","TA0006","TA0007","TA0008","TA0009","TA0040","T1027","T1135","T1486","T1134.001","T1027.002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Abyss","Crypto-Ransomware",2020,NA,"Eastern Europe",NA,"T1036.005","T1190","T1537","T1567","T1020","T1078","T1569.002","T1059.003","T1547.009","T1041","T1059.001","T1016.001","T1486","T1566.001","T1566.002","T1027.001","T1114.001","T1029","T1195","T1547.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Akira","Crypto-Ransomware",2023,NA,"Russia",NA,"TA0001","TA0002","TA0003","TA0004","TA0005","TA0006","TA0007","TA0008","TA0009","TA0010","TA0011","TA0040","T1078","T1136.002","T1078.002","T1562.001","T1003.001","T1082","T1570","T1560.001","T1567.002","T1229","T1490","T1059.001","T1136.001","T1112","T1021.001","T1048.003","T1486","T1133","T1059.002","T1018","T1190","T1059.003","T1047","T1566.001","T1566.002","T1003","T1016","T1482","T1048","T1537","T1657","T1219","T1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Alphalocker","Crypto-Ransomware / Data Broker",2023,NA,"Russia / Eastern Europe",NA,"T1110","T1047","T1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Alphv","Crypto-Ransomware / RaaS",NA,NA,"Russia",NA,"T1078","T1133","T1190","TA0002","T1106","T1053","T1059.003","T1059.001","T1569.002","T1072","T1547","T1134.002","T1548.002","T1027","T1562.001","T1070.001","T1140","T1497","T1036","T1112","T1555","T1552","T1003.001","T1018","T1069.001","T1087.001","T1082","T1046","T1135","T1016","T1057","T1007","T1083","TA0008","T1021.002","T1021.004","T1570","T1021.001","T1005","T1039","T1074","T1119","T1560.001","T1071","T1105","T1572","T1573","T1219","T1041","T1020","T1030","T1048.002","T1567.002","T1485","T1486","T1489","T1490","T1498","T1598","T1586","T1558","T1557","TA0001","TA0003","TA0004","TA0005","TA0006","TA0010","TA0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Apos",NA,2023,NA,"Russia / Eastern Europe",NA,"T1660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Apt73/Bashe","Data Broker",2019,NA,NA,NA,"T1486","T1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Arcusmedia","Data Broker / RaaS",2024,NA,NA,NA,"T1566","T1204","T1053","T1098","T1027","T1562","T1046","T1021.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Atomsilo","Crypto-Ransomware",2021,2021,"China",NA,"T1486","T1082","T1190","T1218.005","T1070.004","T1124","T1005","T1497","T1547.001","T1071","T1203","T1486","T1021","T1071.001","T1071.002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
